,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
16,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,1,0,13,0.1,0.00,0.00,0.00,0.00,0,0,0,0
17,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,2,0,36,0.4,0.00,0.00,0.00,0.00,0,0,0,0
18,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,30,21,"1,912",21.2,0.14,0.09,0.24,0.14,0,0,10,3
19,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,28,23,"1,992",22.1,0.23,0.14,0.36,0.23,0,0,1,0
20,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24,24,"2,156",24.0,0.00,0.00,0.00,0.00,0,0,6,1
21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,24,4,644,7.2,0.14,0.28,0.42,0.14,0,0,3,0
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,25,23,"2,085",23.2,0.04,0.00,0.04,0.04,0,0,4,0
23,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,5,0,107,1.2,0.00,0.00,0.00,0.00,0,0,2,0
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,24,20,"1,386",15.4,0.39,0.32,0.71,0.39,0,1,9,0
25,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,26,16,"1,435",15.9,0.31,0.19,0.50,0.31,0,0,2,2
26,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,6,1,144,1.6,0.00,0.00,0.00,0.00,0,0,1,0
27,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,32,18,"1,542",17.1,0.06,0.00,0.06,0.06,0,0,4,0
28,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,23,7,817,9.1,0.00,0.00,0.00,0.00,0,0,4,0
29,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,29,27,"2,388",26.5,0.00,0.11,0.11,0.00,0,0,5,3
30,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,8,7,675,7.5,0.00,0.00,0.00,0.00,0,0,0,0
31,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,15,14,"1,094",12.2,0.00,0.08,0.08,0.00,0,0,5,0
32,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,3,0,49,0.5,0.00,0.00,0.00,0.00,0,0,0,0
33,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,34,18,"1,888",21.0,0.05,0.10,0.14,0.05,0,0,4,0
34,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,34,23,"2,131",23.7,0.00,0.04,0.04,0.00,0,0,5,0
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,18,17,"1,595",17.7,0.11,0.00,0.11,0.11,0,0,4,0
36,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,20,14,"1,172",13.0,0.00,0.00,0.00,0.00,0,0,3,0
37,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,8,0,94,1.0,0.00,0.00,0.00,0.00,0,0,1,0
38,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,17,17,"1,398",15.5,0.13,0.13,0.26,0.13,0,0,4,1
39,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,1,0,20,0.2,0.00,0.00,0.00,0.00,0,0,0,0
40,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,30,16,"1,300",14.4,0.21,0.07,0.28,0.21,0,0,4,1
41,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,35,35,"3,119",34.7,0.09,0.00,0.09,0.09,0,0,6,1
42,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,19,9,876,9.7,0.10,0.10,0.21,0.10,0,0,5,0
43,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,21,9,"1,076",12.0,0.08,0.00,0.08,0.08,0,0,4,0
44,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,23,17,"1,653",18.4,0.00,0.00,0.00,0.00,0,0,3,0
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,9,9,763,8.5,0.00,0.00,0.00,0.00,0,0,0,0
