,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
1380,Anthony Khelifa,fr FRA,DF,Ajaccio,fr Ligue 1,16,2005,2,0,10,0.1,0.00,0.00,0.00,0.00,0,0,0,0
1381,Kike,es ESP,FW,Osasuna,es La Liga,32,1989,35,7,"1,021",11.3,0.18,0.00,0.18,0.09,1,1,5,0
1382,Luca Kilian,de GER,DF,Köln,de Bundesliga,22,1999,16,13,"1,123",12.5,0.08,0.00,0.08,0.08,0,0,5,2
1383,Max Kilman,eng ENG,DF,Wolves,eng Premier League,25,1997,37,37,"3,307",36.7,0.00,0.00,0.00,0.00,0,0,3,0
1384,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,27,1995,33,32,"2,809",31.2,0.16,0.19,0.35,0.13,1,1,6,1
1385,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,26,1995,11,9,730,8.1,0.00,0.00,0.00,0.00,0,0,3,0
1386,Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,22,2000,7,5,427,4.7,0.21,0.00,0.21,0.21,0,0,0,0
1387,Jakub Kiwior,pl POL,DF,Spezia,it Serie A,22,2000,17,17,"1,443",16.0,0.00,0.00,0.00,0.00,0,0,3,0
1388,Simon Kjær,dk DEN,DF,Milan,it Serie A,33,1989,17,12,"1,007",11.2,0.00,0.00,0.00,0.00,0,0,4,0
1389,Pascal Klemens,de GER,DF,Hertha BSC,de Bundesliga,17,2005,1,1,90,1.0,0.00,0.00,0.00,0.00,0,0,0,0
1390,Mateusz Klich,pl POL,"MF,FW",Leeds United,eng Premier League,32,1990,14,0,280,3.1,0.00,0.00,0.00,0.00,0,0,2,0
1391,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,26,1996,15,10,907,10.1,0.00,0.00,0.00,0.00,0,0,0,0
1392,Justin Kluivert,nl NED,"FW,MF",Valencia,es La Liga,23,1999,26,15,"1,447",16.1,0.37,0.00,0.37,0.31,1,1,4,0
1393,Ansgar Knauff,de GER,DF,Eint Frankfurt,de Bundesliga,20,2002,24,14,"1,286",14.3,0.07,0.07,0.14,0.07,0,0,1,0
1394,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,30,1992,32,32,"2,873",31.9,0.06,0.09,0.16,0.03,1,2,4,0
1395,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,24,1997,27,27,"2,430",27.0,0.00,0.00,0.00,0.00,0,0,0,0
1396,Robin Koch,de GER,DF,Leeds United,eng Premier League,26,1996,36,36,"3,175",35.3,0.00,0.00,0.00,0.00,0,0,7,0
1397,Samuel Koeberlé,fr FRA,MF,Reims,fr Ligue 1,17,2004,1,0,3,0.0,0.00,0.00,0.00,0.00,0,0,0,0
1398,Rudy Kohon,fr FRA,DF,Troyes,fr Ligue 1,18,2004,1,0,64,0.7,0.00,0.00,0.00,0.00,0,0,0,0
1399,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,28,1994,30,27,"2,292",25.5,0.12,0.00,0.12,0.12,0,0,11,0
1400,Koke,es ESP,MF,Atlético Madrid,es La Liga,30,1992,33,30,"2,545",28.3,0.00,0.11,0.11,0.00,0,0,4,0
1401,Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,29,1993,33,26,"2,214",24.6,0.16,0.04,0.20,0.16,0,0,3,0
1402,Luca Koleosho,it ITA,"FW,DF",Espanyol,es La Liga,17,2004,4,0,59,0.7,1.53,0.00,1.53,1.53,0,0,0,0
1403,Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,de Bundesliga,23,1998,32,31,"2,631",29.2,0.51,0.38,0.89,0.44,2,2,6,1
1404,Timothée Kolodziejczak,fr FRA,DF,Schalke 04,de Bundesliga,30,1991,1,0,25,0.3,0.00,0.00,0.00,0.00,0,0,0,0
1405,Cheick Konaté,ci CIV,DF,Clermont Foot,fr Ligue 1,18,2004,9,6,572,6.4,0.00,0.00,0.00,0.00,0,0,2,0
1406,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,23,1999,18,17,"1,552",17.2,0.00,0.00,0.00,0.00,0,0,5,0
1407,Geoffrey Kondogbia,cf CTA,MF,Atlético Madrid,es La Liga,29,1993,20,10,"1,006",11.2,0.00,0.18,0.18,0.00,0,0,5,0
1408,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,23,1999,37,15,"1,577",17.5,0.40,0.06,0.46,0.29,2,3,3,0
1409,Kouadio Koné,fr FRA,MF,M'Gladbach,de Bundesliga,21,2001,30,30,"2,608",29.0,0.03,0.03,0.07,0.03,0,0,12,0
1410,Youssouf Koné,ml MLI,DF,Ajaccio,fr Ligue 1,27,1995,13,12,916,10.2,0.00,0.00,0.00,0.00,0,0,4,0
1411,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,24,1997,38,37,"3,322",36.9,0.00,0.00,0.00,0.00,0,0,6,0
1412,Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,24,1998,33,32,"2,858",31.8,0.31,0.13,0.44,0.25,2,4,7,0
1413,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,21,2001,24,17,"1,523",16.9,0.00,0.06,0.06,0.00,0,0,3,0
1414,Filip Kostić,rs SRB,"DF,FW",Juventus,it Serie A,29,1992,37,33,"2,564",28.5,0.11,0.28,0.39,0.11,0,0,3,0
1415,Filip Kostić,rs SRB,"DF,MF",Eint Frankfurt,de Bundesliga,29,1992,1,1,74,0.8,0.00,0.00,0.00,0.00,0,0,1,0
1416,Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,24,1997,28,22,"1,866",20.7,0.19,0.19,0.39,0.19,0,0,5,0
1417,Rominigue Kouamé,ml MLI,MF,Troyes,fr Ligue 1,25,1996,32,31,"2,661",29.6,0.03,0.03,0.07,0.03,0,0,9,0
1418,Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,29,1992,11,11,990,11.0,0.00,0.00,0.00,0.00,0,0,0,0
1419,Kalidou Koulibaly,sn SEN,DF,Chelsea,eng Premier League,31,1991,23,20,"1,800",20.0,0.10,0.05,0.15,0.10,0,0,7,1
1420,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,23,1998,29,28,"2,426",27.0,0.04,0.11,0.15,0.04,0,0,2,0
1421,Boubakar Kouyaté,ml MLI,DF,Montpellier,fr Ligue 1,25,1997,15,15,"1,256",14.0,0.00,0.00,0.00,0.00,0,0,5,0
1422,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,eng Premier League,32,1989,21,10,882,9.8,0.10,0.00,0.10,0.10,0,0,3,0
1423,Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,28,1994,27,17,"1,707",19.0,0.05,0.11,0.16,0.05,0,0,8,0
1424,Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,26,1996,18,7,548,6.1,0.00,0.00,0.00,0.00,0,0,1,0
1425,Soichiro Kozuki,jp JPN,"FW,MF",Schalke 04,de Bundesliga,21,2000,5,5,379,4.2,0.24,0.00,0.24,0.24,0,0,1,0
1426,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,27,1994,1,0,1,0.0,0.00,0.00,0.00,0.00,0,0,0,0
1427,Alex Král,cz CZE,MF,Schalke 04,de Bundesliga,24,1998,29,26,"2,357",26.2,0.00,0.00,0.00,0.00,0,0,3,0
1428,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,de Bundesliga,31,1991,32,26,"2,386",26.5,0.45,0.15,0.60,0.30,4,6,3,0
1429,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,31,1991,29,27,"2,222",24.7,0.00,0.00,0.00,0.00,0,0,4,0
1430,Tom Krauß,de GER,MF,Schalke 04,de Bundesliga,21,2001,32,31,"2,514",27.9,0.07,0.00,0.07,0.07,0,0,8,0
1431,Julian Kristoffersen,no NOR,FW,Salernitana,it Serie A,25,1997,1,0,18,0.2,0.00,0.00,0.00,0.00,0,0,0,0
1432,Raimonds Krollis,lv LVA,"FW,DF",Spezia,it Serie A,20,2001,4,0,36,0.4,0.00,0.00,0.00,0.00,0,0,0,0
1433,Toni Kroos,de GER,MF,Real Madrid,es La Liga,32,1990,30,25,"2,155",23.9,0.08,0.17,0.25,0.08,0,0,2,1
1434,Rade Krunić,ba BIH,MF,Milan,it Serie A,28,1993,23,18,"1,657",18.4,0.00,0.05,0.05,0.00,0,0,8,0
1435,Max Kruse,de GER,"MF,FW",Wolfsburg,de Bundesliga,34,1988,5,2,272,3.0,0.00,0.00,0.00,0.00,0,0,0,0
1436,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,29,1992,22,19,"1,639",18.2,0.11,0.05,0.16,0.11,0,0,1,0
1437,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,es La Liga,21,2001,35,29,"2,439",27.1,0.33,0.15,0.48,0.33,0,0,3,0
1438,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,eng Premier League,22,2000,30,23,"2,067",23.0,0.09,0.30,0.39,0.09,0,0,2,0
1439,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,17,2005,20,14,"1,320",14.7,0.00,0.14,0.14,0.00,0,0,8,0
1440,Marash Kumbulla,al ALB,DF,Roma,it Serie A,22,2000,7,5,259,2.9,0.00,0.00,0.00,0.00,0,0,1,1
1441,Pierre Kunde,cm CMR,"MF,FW",Bochum,de Bundesliga,27,1995,12,3,377,4.2,0.24,0.00,0.24,0.24,0,0,0,0
1442,Alou Kuol,au AUS,FW,Stuttgart,de Bundesliga,21,2000,1,0,5,0.1,0.00,0.00,0.00,0.00,0,0,0,0
1443,Layvin Kurzawa,fr FRA,DF,Fulham,eng Premier League,29,1992,3,2,135,1.5,0.00,0.00,0.00,0.00,0,0,1,0
1444,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,21,2001,34,30,"2,518",28.0,0.43,0.36,0.79,0.36,2,2,1,0
1445,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,26,1995,37,26,"2,232",24.8,0.40,0.12,0.52,0.24,4,6,3,0
1446,Daniel Kyereh,gh GHA,"MF,FW",Freiburg,de Bundesliga,26,1996,12,7,559,6.2,0.32,0.00,0.32,0.32,0,0,2,0
1447,Giorgos Kyriakopoulos,gr GRE,"DF,FW",Bologna,it Serie A,26,1996,12,8,704,7.8,0.00,0.26,0.26,0.00,0,0,2,0
1448,Giorgos Kyriakopoulos,gr GRE,"FW,DF",Sassuolo,it Serie A,26,1996,12,9,766,8.5,0.12,0.12,0.23,0.12,0,0,3,0
1449,César de la Hoz,es ESP,MF,Almería,es La Liga,30,1992,25,18,"1,673",18.6,0.05,0.00,0.05,0.05,0,0,6,0
1450,Luca de la Torre,us USA,MF,Celta Vigo,es La Liga,24,1998,28,16,"1,481",16.5,0.00,0.12,0.12,0.00,0,0,6,0
1451,Rémy Labeau Lascary,gp GLP,"FW,MF",Lens,fr Ligue 1,19,2003,10,0,123,1.4,0.00,0.00,0.00,0.00,0,0,0,0
1452,Gaëtan Laborde,fr FRA,FW,Nice,fr Ligue 1,28,1994,33,28,"2,506",27.8,0.47,0.11,0.57,0.47,0,1,0,0
1453,Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,28,1994,4,3,249,2.8,0.72,0.00,0.72,0.72,0,0,0,0
1454,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,31,1991,35,34,"2,929",32.5,0.83,0.15,0.98,0.65,6,8,3,0
1455,Qazim Laçi,al ALB,MF,Ajaccio,fr Ligue 1,26,1996,9,2,212,2.4,0.00,0.00,0.00,0.00,0,0,0,0
1456,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,22,2000,24,18,"1,627",18.1,0.06,0.00,0.06,0.06,0,0,1,0
1457,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,23,1999,37,37,"3,329",37.0,0.00,0.00,0.00,0.00,0,0,2,1
1458,Aïssa Laïdouni,tn TUN,MF,Union Berlin,de Bundesliga,25,1996,14,11,871,9.7,0.21,0.00,0.21,0.21,0,0,4,0
1459,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,25,1997,21,17,"1,468",16.3,0.18,0.00,0.18,0.18,0,0,8,0
1460,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,29,1992,17,9,817,9.1,0.00,0.00,0.00,0.00,0,0,2,0
1461,Kenny Lala,fr FRA,DF,Brest,fr Ligue 1,30,1991,17,16,"1,417",15.7,0.00,0.13,0.13,0.00,0,0,4,0
1462,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,34,1988,16,12,722,8.0,0.25,0.12,0.37,0.25,0,0,0,0
1463,Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,32,1990,15,7,627,7.0,0.00,0.00,0.00,0.00,0,0,2,0
1464,Érik Lamela,ar ARG,"FW,MF",Sevilla,es La Liga,30,1992,32,20,"1,844",20.5,0.29,0.00,0.29,0.29,0,0,10,1
1465,Mohamed Lamine Bayo,gn GUI,"FW,MF",Lille,fr Ligue 1,24,1998,27,6,651,7.2,0.55,0.14,0.69,0.55,0,0,1,0
1466,Sam Lammers,nl NED,FW,Sampdoria,it Serie A,25,1997,19,13,"1,100",12.2,0.08,0.08,0.16,0.08,0,0,1,0
1467,Sam Lammers,nl NED,FW,Empoli,it Serie A,25,1997,14,10,883,9.8,0.10,0.10,0.20,0.10,0,0,0,0
1468,Tariq Lamptey,gh GHA,DF,Brighton,eng Premier League,21,2000,20,3,453,5.0,0.00,0.00,0.00,0.00,0,0,1,0
1469,Manuel Lanzini,ar ARG,"MF,FW",West Ham,eng Premier League,29,1993,10,2,252,2.8,0.36,0.00,0.36,0.36,0,0,0,0
1470,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,28,1994,12,11,993,11.0,0.00,0.00,0.00,0.00,0,0,0,0
1471,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,28,1993,20,19,"1,654",18.4,0.00,0.00,0.00,0.00,0,0,1,0
1472,Cyle Larin,ca CAN,FW,Valladolid,es La Liga,27,1995,19,16,"1,469",16.3,0.49,0.18,0.67,0.37,2,2,4,0
1473,Juan Larios,es ESP,DF,Southampton,eng Premier League,18,2004,5,2,152,1.7,0.00,0.00,0.00,0.00,0,0,0,0
1474,Yasser Larouci,fr FRA,"DF,MF",Troyes,fr Ligue 1,21,2001,30,21,"1,797",20.0,0.05,0.05,0.10,0.05,0,0,1,0
1475,Jordan Larsson,se SWE,"FW,MF",Schalke 04,de Bundesliga,25,1997,11,5,463,5.1,0.00,0.00,0.00,0.00,0,0,0,0
1476,Kevin Lasagna,it ITA,"FW,MF",Hellas Verona,it Serie A,29,1992,26,17,"1,572",17.5,0.06,0.11,0.17,0.06,0,0,2,0
1477,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,28,1993,7,2,218,2.4,0.00,0.00,0.00,0.00,0,0,4,0
1478,Juanmi Latasa,es ESP,FW,Getafe,es La Liga,21,2001,18,2,448,5.0,0.20,0.00,0.20,0.20,0,0,2,0
1479,Toni Lato,es ESP,"DF,MF",Valencia,es La Liga,24,1997,24,9,914,10.2,0.10,0.00,0.10,0.10,0,0,1,0
1480,Danny Latza,de GER,MF,Schalke 04,de Bundesliga,32,1989,20,8,853,9.5,0.00,0.11,0.11,0.00,0,0,2,0
1481,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,23,1998,28,27,"2,175",24.2,0.29,0.25,0.54,0.25,1,1,10,1
1482,Armand Lauriente,fr FRA,FW,Lorient,fr Ligue 1,23,1998,3,3,266,3.0,0.34,0.00,0.34,0.34,0,0,0,0
1483,Roméo Lavia,be BEL,MF,Southampton,eng Premier League,18,2004,29,26,"2,221",24.7,0.04,0.00,0.04,0.04,0,0,9,0
1484,Lázaro,br BRA,"FW,MF",Almería,es La Liga,20,2002,19,7,716,8.0,0.75,0.00,0.75,0.75,0,0,1,0
1485,Valentino Lazaro,at AUT,DF,Torino,it Serie A,26,1996,23,15,"1,373",15.3,0.00,0.20,0.20,0.00,0,0,4,0
1486,Marko Lazetić,rs SRB,FW,Milan,it Serie A,18,2004,1,0,9,0.1,0.00,0.00,0.00,0.00,0,0,1,0
1487,Darko Lazović,rs SRB,"MF,DF",Hellas Verona,it Serie A,31,1990,30,27,"2,242",24.9,0.16,0.20,0.36,0.16,0,0,0,0
1488,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,28,1993,28,22,"1,879",20.9,0.00,0.00,0.00,0.00,0,0,8,0
1489,Théo Le Bris,fr FRA,"MF,DF",Lorient,fr Ligue 1,19,2002,27,15,"1,452",16.1,0.12,0.12,0.25,0.12,0,0,0,0
1490,Julien Le Cardinal,fr FRA,DF,Lens,fr Ligue 1,24,1997,8,2,165,1.8,0.00,0.00,0.00,0.00,0,0,0,0
1491,Jérémy Le Douaron,fr FRA,"MF,FW",Brest,fr Ligue 1,24,1998,32,24,"2,071",23.0,0.43,0.13,0.56,0.43,0,0,1,0
1492,Enzo Le Fée,fr FRA,MF,Lorient,fr Ligue 1,22,2000,35,35,"3,028",33.6,0.15,0.18,0.33,0.15,0,0,5,0
1493,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,32,1989,37,37,"3,330",37.0,0.00,0.00,0.00,0.00,0,0,1,0
1494,Maxime Le Marchand,fr FRA,DF,Strasbourg,fr Ligue 1,32,1989,26,23,"2,015",22.4,0.00,0.00,0.00,0.00,0,0,6,1
1495,Robin Le Normand,es ESP,DF,Real Sociedad,es La Liga,25,1996,33,31,"2,796",31.1,0.00,0.00,0.00,0.00,0,0,6,0
1496,Rafael Leão,pt POR,"FW,MF",Milan,it Serie A,23,1999,35,28,"2,421",26.9,0.56,0.30,0.86,0.56,0,0,7,1
1497,Paolo Lebas,pt POR,MF,Ajaccio,fr Ligue 1,19,2003,1,0,55,0.6,0.00,0.00,0.00,0.00,0,0,0,0
1498,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,36,1985,1,1,90,1.0,0.00,0.00,0.00,0.00,0,0,0,0
1499,Benjamin Lecomte,fr FRA,GK,Espanyol,es La Liga,31,1991,10,10,899,10.0,0.00,0.00,0.00,0.00,0,0,1,1
1500,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,31,1991,19,19,"1,710",19.0,0.00,0.00,0.00,0.00,0,0,0,0
1501,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,29,1993,34,34,"3,060",34.0,0.00,0.00,0.00,0.00,0,0,2,0
1502,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,29,1993,32,32,"2,767",30.7,0.16,0.16,0.33,0.16,0,0,10,1
1503,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,23,1999,28,26,"2,254",25.0,0.00,0.04,0.04,0.00,0,0,6,1
1504,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,24,1998,9,7,663,7.4,0.00,0.00,0.00,0.00,0,0,0,0
1505,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,31,1991,31,31,"2,565",28.5,0.14,0.00,0.14,0.14,0,0,6,3
1506,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,29,1993,20,14,"1,321",14.7,0.00,0.07,0.07,0.00,0,0,1,0
1507,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,26,1995,27,17,"1,252",13.9,0.07,0.22,0.29,0.07,0,0,1,0
1508,Félix Lemaréchal,ci CIV,MF,Brest,fr Ligue 1,18,2003,13,2,288,3.2,0.00,0.00,0.00,0.00,0,0,2,0
1509,Dexter Lembikisa,jm JAM,DF,Wolves,eng Premier League,18,2003,1,0,23,0.3,0.00,0.00,0.00,0.00,0,0,0,0
1510,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,28,1993,19,17,"1,299",14.4,0.00,0.07,0.07,0.00,0,0,4,1
1511,Mario Lemina,ga GAB,"MF,DF",Nice,fr Ligue 1,28,1993,14,11,838,9.3,0.00,0.00,0.00,0.00,0,0,1,1
1512,Tim Lemperle,de GER,"FW,MF",Köln,de Bundesliga,20,2002,12,0,132,1.5,0.00,0.00,0.00,0.00,0,0,0,0
1513,Clément Lenglet,fr FRA,DF,Tottenham,eng Premier League,27,1995,26,24,"2,019",22.4,0.00,0.09,0.09,0.00,0,0,4,0
1514,Bernd Leno,de GER,GK,Fulham,eng Premier League,30,1992,36,36,"3,240",36.0,0.00,0.00,0.00,0.00,0,0,3,0
1515,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,27,1994,24,13,"1,290",14.3,0.00,0.14,0.14,0.00,0,0,1,0
1516,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,29,1992,2,2,180,2.0,0.00,0.00,0.00,0.00,0,0,0,0
1517,Sergio León,es ESP,FW,Valladolid,es La Liga,33,1989,29,14,"1,334",14.8,0.40,0.07,0.47,0.34,1,2,0,1
1518,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,19,2002,31,21,"1,933",21.5,0.05,0.09,0.14,0.05,0,0,4,0
1519,Mehdi Léris,dz ALG,"MF,DF",Sampdoria,it Serie A,24,1998,32,29,"2,460",27.3,0.04,0.04,0.07,0.04,0,0,13,0
1520,Jefferson Lerma,co COL,MF,Bournemouth,eng Premier League,27,1994,37,37,"3,252",36.1,0.14,0.00,0.14,0.14,0,0,7,0
1521,Benjamin Leroy,fr FRA,GK,Ajaccio,fr Ligue 1,33,1989,32,32,"2,798",31.1,0.00,0.00,0.00,0.00,0,0,1,0
1522,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,22,2000,27,14,"1,192",13.2,0.00,0.00,0.00,0.00,0,0,7,0
1523,Alexandre Letellier,fr FRA,GK,Paris S-G,fr Ligue 1,31,1990,1,0,11,0.1,0.00,0.00,0.00,0.00,0,0,0,0
1524,Ruan Levine,br BRA,"MF,FW",Ajaccio,fr Ligue 1,23,1999,3,0,24,0.3,0.00,0.00,0.00,0.00,0,0,0,0
1525,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,33,1988,34,33,"2,847",31.6,0.73,0.22,0.95,0.73,0,1,4,1
1526,Jamie Leweling,de GER,"FW,MF",Union Berlin,de Bundesliga,21,2001,16,0,265,2.9,0.34,0.34,0.68,0.34,0,0,1,0
1527,Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,eng Premier League,24,1998,2,0,11,0.1,0.00,0.00,0.00,0.00,0,0,0,0
1528,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,17,2004,14,10,903,10.0,0.00,0.00,0.00,0.00,0,0,1,0
1529,Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,eng Premier League,21,2001,10,3,321,3.6,0.00,0.28,0.28,0.00,0,0,0,0
1530,Dimitri Liénard,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,34,1988,28,18,"1,543",17.1,0.00,0.00,0.00,0.00,0,0,4,0
1531,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,26,1996,29,27,"2,498",27.8,0.04,0.00,0.04,0.04,0,0,3,0
1532,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,22,1999,31,27,"2,403",26.7,0.11,0.04,0.15,0.11,0,0,4,0
1533,Dimitris Limnios,gr GRE,FW,Köln,de Bundesliga,24,1998,2,0,39,0.4,0.00,0.00,0.00,0.00,0,0,0,0
1534,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,28,1994,20,14,"1,365",15.2,0.00,0.00,0.00,0.00,0,0,1,0
1535,Jesper Lindstrøm,dk DEN,"MF,FW",Eint Frankfurt,de Bundesliga,22,2000,27,22,"1,679",18.7,0.38,0.11,0.48,0.38,0,0,2,0
1536,Karol Linetty,pl POL,MF,Torino,it Serie A,27,1995,32,22,"1,886",21.0,0.05,0.00,0.05,0.05,0,0,8,0
1537,Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,eng Premier League,29,1992,17,12,923,10.3,0.00,0.00,0.00,0.00,0,0,1,0
1538,Pol Lirola,es ESP,DF,Elche,es La Liga,24,1997,12,7,628,7.0,0.14,0.00,0.14,0.14,0,0,1,0
1539,Mateusz Lis,pl POL,GK,Troyes,fr Ligue 1,25,1997,9,8,751,8.3,0.00,0.00,0.00,0.00,0,0,1,0
1540,Marcin Listkowski,pl POL,"MF,FW",Lecce,it Serie A,24,1998,5,0,77,0.9,0.00,0.00,0.00,0.00,0,0,0,0
1541,Valentino Livramento,eng ENG,"DF,FW",Southampton,eng Premier League,19,2002,2,0,28,0.3,0.00,0.00,0.00,0.00,0,0,0,0
1542,Dejan Ljubicic,at AUT,"MF,FW",Köln,de Bundesliga,24,1997,27,20,"1,710",19.0,0.26,0.05,0.32,0.21,1,1,3,0
1543,Javier Llabrés,es ESP,FW,Mallorca,es La Liga,19,2002,1,0,17,0.2,0.00,0.00,0.00,0.00,0,0,0,0
1544,Diego Llorente,es ESP,DF,Leeds United,eng Premier League,28,1993,8,7,649,7.2,0.00,0.00,0.00,0.00,0,0,1,0
1545,Diego Llorente,es ESP,DF,Roma,it Serie A,28,1993,9,5,573,6.4,0.00,0.00,0.00,0.00,0,0,0,0
1546,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,27,1995,22,21,"1,703",18.9,0.05,0.11,0.16,0.05,0,0,5,0
1547,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,35,1986,25,25,"2,205",24.5,0.00,0.00,0.00,0.00,0,0,0,0
1548,Giovani Lo Celso,ar ARG,"MF,FW",Villarreal,es La Liga,26,1996,22,14,"1,126",12.5,0.16,0.24,0.40,0.16,0,0,3,0
1549,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,27,1994,38,34,"3,101",34.5,0.03,0.03,0.06,0.03,0,0,2,0
1550,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,24,1998,32,29,"2,446",27.2,0.00,0.07,0.07,0.00,0,0,8,0
1551,Luka Lochoshvili,ge GEO,DF,Cremonese,it Serie A,24,1998,25,22,"1,839",20.4,0.05,0.10,0.15,0.05,0,0,4,0
1552,Bradley Locko,fr FRA,DF,Reims,fr Ligue 1,20,2002,15,13,"1,059",11.8,0.00,0.00,0.00,0.00,0,0,3,1
1553,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,20,2002,7,2,270,3.0,0.00,0.00,0.00,0.00,0,0,0,0
1554,Renan Lodi,br BRA,DF,Nott'ham Forest,eng Premier League,24,1998,28,26,"2,214",24.6,0.00,0.04,0.04,0.00,0,0,7,0
1555,Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,eng Premier League,26,1996,25,19,"1,536",17.1,0.00,0.06,0.06,0.00,0,0,1,0
1556,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,24,1997,33,28,"2,518",28.0,0.04,0.14,0.18,0.04,0,0,2,0
1557,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,24,1997,31,20,"1,729",19.2,0.68,0.31,0.99,0.52,3,3,3,0
1558,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,31,1990,32,32,"2,816",31.3,0.00,0.00,0.00,0.00,0,0,2,1
1559,Rony Lopes,pt POR,"MF,FW",Troyes,fr Ligue 1,26,1995,32,29,"2,346",26.1,0.27,0.19,0.46,0.27,0,0,2,0
1560,David López,es ESP,DF,Girona,es La Liga,32,1989,20,19,"1,652",18.4,0.16,0.05,0.22,0.16,0,0,5,0
1561,Diego López,es ESP,GK,Rayo Vallecano,es La Liga,40,1981,2,1,96,1.1,0.00,0.00,0.00,0.00,0,0,0,0
